Name,SI CODE
UK_2003_17_LA,AUTHORISATION
UK_2018_219_EASR,ENVIRONMENTAL PROTECTION
UK_2001_1149_PSACMO,POSTAL SERVICES
UK_2000_38_TA,LOCAL GOVERNMENT
UK_2000_5_AFTESA,DISCLOSURE
UK_2019_758_REAEEER,HEALTH AND SAFETY
UK_2021_873_MDAEER,CONSUMER PROTECTION
UK_2013_207_BPFCRNI,HEALTH AND SAFETY
UK_2020_284_WAEERNI,ENVIRONMENTAL PROTECTION
UK_1997_2203_WMLAR,ENVIRONMENTAL PROTECTION
UK_2004_509_MUDSRNI,PUBLIC HEALTH
UK_1996_2560_EACRPO,COUNTRYSIDE
UK_2006_536_AHWSACPO,SOCIAL SECURITY
UK_2021_182_WFCARNI,ENVIRONMENTAL PROTECTION
UK_2015_1390_PHWRO,HARBOURS, DOCKS, PIERS AND FERRIES
UK_2022_634_HCACRATPR,NATIONAL HEALTH SERVICE
UK_2004_275_WMLASR,ENVIRONMENTAL PROTECTION
UK_2022_288_WMLARNI,ENVIRONMENTAL PROTECTION
UK_2015_21_WFCARNI,ENVIRONMENTAL PROTECTION
UK_1987_12_PA,JOB DESCRIPTIONS
UK_2005_3056_LACTPO,LICENCES AND LICENSING
UK_1998_606_WMLAR,ENVIRONMENTAL PROTECTION
UK_1996_2974_TLATACO,TRUSTS OF LAND
UK_2022_330_PROPWASR,ENVIRONMENTAL PROTECTION
UK_2020_112_WFCARNI,ENVIRONMENTAL PROTECTION
UK_2003_548_MUDSRNI,PUBLIC HEALTH
UK_2004_1874_WETACO,ENVIRONMENTAL PROTECTION
UK_2020_473_INSEESAER,ENVIRONMENTAL PROTECTION
UK_2015_1669_OPAR,AGRICULTURE
UK_2000_93_CMAHRNI,HEALTH AND SAFETY
UK_2011_16_WAANI,BUSINESS PRACTICE AND REGULATION
UK_2007_6_CPERSA,LEGISLATION
UK_2005_1082_MSER,HEALTH AND SAFETY
UK_1999_367_EIAFFMWR,FISH FARMING
UK_2019_22_HTSR,WILDLIFE
UK_2001_422_BPRNI,HEALTH AND SAFETY
UK_2010_250_TRHRMGCMTPTO,EXCISE
UK_2010_84_WMLFCCEAARNI,ENVIRONMENTAL PROTECTION
UK_2013_206_BPCAAERNI,HEALTH AND SAFETY
UK_1996_1279_WMLAR,ENVIRONMENTAL PROTECTION
UK_2019_68_HTSRNI,ANTI-SOCIAL BEHAVIOUR
UK_1994_1386_HANEAR,ENVIRONMENTAL PROTECTION
UK_2007_258_LARNI,ENVIRONMENTAL PROTECTION
UK_2011_603_MCAATSPO,FISHERIES
UK_2015_218_BSAR,BUILDING AND BUILDINGS
UK_2021_1414_NBOWFO,INFRASTRUCTURE PLANNING
UK_2007_3106_POPR,ENVIRONMENTAL PROTECTION
UK_1997_28_MSMSA,FIRE
UK_1997_351_WMMPR,ENVIRONMENTAL PROTECTION
UK_2002_181_PWMSACO,COUNTRYSIDE
UK_2005_187_TSWAR,ENVIRONMENTAL PROTECTION
